URL;TITRE
https://youtu.be/JDNNNVCuz7Y;Dubs s'envole et jules crie | LETHAL COMPANY;
https://youtu.be/H3sOm0NZiZQ;Bonjour monsieur...AAAAAAAAAAAAAAAAA | LETHAL COMPANY;
https://youtu.be/BubSfkAs8SM;Dubs freestyle 1 | LETHAL COMPANY;
https://youtu.be/BjgloLcOwBA;y'avait des mites dans le vaisseau | LETHAL COMPANY;
https://youtu.be/xxiZIF_lSJo;STOP | LETHAL COMPANY;
https://youtu.be/HmZM_mbwqIU;PARALISE PAR LA PEUR | LETHAL COMPANY;
https://youtu.be/B1Hu6SrhioM;AU FOND DU TROU | LETHAL COMPANY | VOD 1.1;
https://youtu.be/P4we_1OEU2I;BEE MOVIE & MITES PARTY | LETHAL COMPANY | VOD 1.2;
https://youtu.be/Arw0cu77CVM;TASE LA MITE ! | LETHAL COMPANY | VOD 1.3
